month,gfcf_real_gdp,money_supply_m1,money_supply_m2,money_supply_m3,money_supply_m4,currency_in_circulation,currency_with_public,demand_deposits,m3_net_bank_credit_govt,bank_credit,sched_banks_liabilities,sched_banks_demand_time_dep,sched_banks_deposits,sched_banks_demand_dep,cash_reserve_ratio,tbill_91day_yield,tbill_364day_yield,exchange_rate_inr_usd,sensex,bse_listed_companies,ceic_leading_indicator,electricity_generation,exports,imports_usd,fuel_power_wpi,foreign_tourist_arrivals
YYYY-MM,INR real const prices — QUARTERLY (blank off-quarter),INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,% (rate),% pa,% pa,USD/INR,Index 1978-79=100,count,index,GWh,INR mn,USD mn,Index 2011-12=100,persons
2022-01,12924637858394,50350560,52160340,199476840,209282050,30323680,29319210,20504970,59341510,114689770,2706360,1895860,164529760,19547160,4,3.708,4.5053,74.9674,58014.17,5591,99.53101232,107886.08,2621599.87,52566.76985,135.3,215935
2022-02,,51383740,53212630,201835280,211738020,30805020,29805650,21030560,62320040,116437170,2558740,1855000,166382180,20069070,4,3.6954,4.52,75.4882,56247.28,5607,102.80818,104208.4,2785415.804,55898.38736,138.3,254538
2022-03,,53071250,54955580,204937290,215059700,31337160,30356890,22129920,64776290,118913140,2626740,1941430,168996340,21175130,4,3.84,4.5805,75.8071,58568.51,5618,108.3369827,123920.84,3396053.192,63090.56269,143.9,358023
2022-04,13124560123549,52861860,54765430,207120480,217346180,32093940,30931590,21354590,64115910,120009300,2865500,2098560,172168560,21592790,4,3.9799,4.8102,76.4242,57060.87,5630,107.7936127,127031.08,3023885.041,58057.69689,151.2,411010
2022-05,,52980980,54885360,206823070,217144880,32260000,31179600,21263100,62645530,120627310,2814730,1965170,170281420,20302460,4.5,4.8869,5.91,77.6641,55566.41,5638,103.3797015,125218.6,3014718.24,61126.44022,163.6,445690
2022-06,,52458460,54390930,206638170,217082580,32267880,31041510,20873400,62630590,121904290,2852950,1927460,170180780,20000930,4.5,5.1595,6.287,78.9421,53018.94,5625,102.6291845,124421.55,3301607.793,64352.7583,167.1,547074
2022-07,13534422532523,53041990,54983610,210323480,220886020,31847150,30637460,21832090,64086640,123693500,2772580,1897500,173981120,20884920,4.5,5.6229,6.33,79.4203,57570.25,5595,95.39057569,118937.22,3051204.136,63771.39388,166.6,669499
2022-08,,52836550,54786160,210514230,221166630,31832190,30624790,21639870,64713130,124586580,2819860,1919200,174181820,20689210,4.5,5.6341,6.3199,79.7194,59537.07,5599,99.29848364,121513.98,2943150.948,61879.14961,159.2,524756
2022-09,,52280400,54244800,210728960,221474880,31670730,30445940,21209020,64376720,130324730,3023990,2023110,179692640,22800920,4.5,6.1776,6.7966,81.5522,57426.92,5621,101.35717,119995.52,2840245.925,63372.11171,158.4,551580
2022-10,13613828352200,53259680,55224140,213019490,223842360,32183140,30887530,21672140,64446040,128646950,2971650,1931840,177003860,21687180,4.5,6.3994,6.9197,82.3934,60746.59,5646,96.63708949,109501.11,2600558.861,57910.49705,158,677055
2022-11,,53563880,55524410,213999210,224884110,32184260,30936180,21920600,66127620,130022650,3220590,2004850,177499450,21238760,4.5,6.3977,6.8678,81.597,63099.65,6655,98.86369728,108444.01,2849595.669,56951.41075,162.8,789330
2022-12,,55271040,57269630,218592350,229568610,32326510,31222360,23419360,65654720,133068530,3295790,2208320,181577280,22459420,4.5,6.3099,6.8907,82.7862,60840.74,5670,95.40224529,115503.39,3140978.429,61218.76419,158,992977
2023-01,14074101941728,55303330,57294200,218950340,230001710,32917830,31697200,22967920,66573650,133375360,3294090,2107250,181453630,22011620,4.5,6.4731,6.9048,81.7387,59549.9,5686,98.5732037,118620.88,2926276.851,52826.37831,155.6,891084
2023-02,,55794470,57797040,220933310,232065610,33316120,32227370,22925810,68542460,134502690,3480050,2195650,182900210,21970950,4.5,6.8154,7.2563,82.6816,58962.12,5663,99.50720111,111523.05,3057312.967,53581.49985,157.6,893352
2023-03,,56747950,58750520,223437600,234569900,33785200,32764360,23205980,71655330,136752350,3552520,2285170,184776770,22254160,4.5,6.7366,7.3064,82.2169,58991.52,5681,100.8859484,120202.5,3451723.104,60920.79638,156.4,824549
2023-04,14318588201110,56965600,58968170,226831990,237964290,34554030,33464860,22817650,71655470,138792840,3460110,2465630,189289630,23068290,4.5,6.8225,7.004,81.7829,61112.44,5694,101.4926657,123873.09,2837622.39,49051.01086,152.7,625772
2023-05,,57002870,59005440,227668100,238800400,34784800,33713910,22609020,71359380,139024500,3681370,2521040,189325700,22271430,4.5,6.7839,6.8941,82.6773,62622.24,5702,97.00923968,126601.66,2876586.974,57452.91576,148.6,618086
2023-06,,59035350,61037920,234247480,245379780,33604180,32346080,25902460,71903410,143837180,3620970,2600580,195982670,24948980,4.5,6.7599,6.8685,82.0428,64718.56,5657,99.50120109,127382.73,2822370.752,53203.06382,146.2,667720
